(Glen Pointe) Frank W Burr Blvd	glen pointe frank west burr boulevard
1 Av	first avenue
1 Av / 23 St	first avenue at twenty third street; twenty third street at first avenue; twenty third street and first avenue; first avenue twenty third street; twenty third street on first avenue; first avenue and twenty third street; first avenue on twenty third street; twenty third street first avenue
1 Av / 4 St	fourth street first avenue; first avenue fourth street; first avenue at fourth street; fourth street on first avenue; fourth street and first avenue; fourth street at first avenue; first avenue and fourth street; first avenue on fourth street
1 Av / 56 St	first avenue at fifty sixth street; fifty sixth street first avenue; first avenue on fifty sixth street; first avenue and fifty sixth street; fifty sixth street at first avenue; fifty sixth street and first avenue; fifty sixth street on first avenue; first avenue fifty sixth street
1 Av /E  82 St	first avenue east eighty second street; east eighty second street first avenue; east eighty second street at first avenue; first avenue on east eighty second street; first avenue and east eighty second street; first avenue at east eighty second street; east eighty second street and first avenue; east eighty second street on first avenue
1 Av/ E 27 St	east twenty seventh street on first avenue; east twenty seventh street and first avenue; east twenty seventh street first avenue; first avenue east twenty seventh street; first avenue at east twenty seventh street; first avenue and east twenty seventh street; first avenue on east twenty seventh street; east twenty seventh street at first avenue
1 Av/ E 97 St	east ninety seventh street first avenue; first avenue at east ninety seventh street; first avenue east ninety seventh street; east ninety seventh street on first avenue; east ninety seventh street and first avenue; east ninety seventh street at first avenue; first avenue and east ninety seventh street; first avenue on east ninety seventh street
1 Av/125 St	hundred and twenty fifth street first avenue; one hundred and twenty fifth street at first avenue; hundred and twenty fifth street and first avenue; first avenue one hundred and twenty fifth street; first avenue and hundred and twenty fifth street; first avenue hundred and twenty fifth street; hundred and twenty fifth street at first avenue; first avenue at one hundred and twenty fifth street; one hundred and twenty fifth street and first avenue; one hundred and twenty fifth street on first avenue; one hundred and twenty fifth street first avenue; first avenue on hundred and twenty fifth street; first avenue and one hundred and twenty fifth street; hundred and twenty fifth street on first avenue; first avenue at hundred and twenty fifth street; first avenue on one hundred and twenty fifth street
1 Av/E 1 St	first avenue east first street; east first street first avenue; east first street and first avenue; east first street on first avenue; first avenue at east first street; first avenue on east first street; first avenue and east first street; east first street at first avenue
1 Av/E 102 St	east one hundred and second street on first avenue; first avenue on east one hundred and second street; east hundred and second street on first avenue; first avenue and east one hundred and second street; first avenue east one hundred and second street; east hundred and second street first avenue; east hundred and second street and first avenue; east hundred and second street at first avenue; east one hundred and second street first avenue; first avenue at east one hundred and second street; first avenue east hundred and second street; east one hundred and second street and first avenue; first avenue at east hundred and second street; east one hundred and second street at first avenue; first avenue on east hundred and second street; first avenue and east hundred and second street
1 Av/E 105 St	east hundred and fifth street on first avenue; east hundred and fifth street and first avenue; first avenue and east hundred and fifth street; first avenue on east hundred and fifth street; east one hundred and fifth street at first avenue; first avenue at east one hundred and fifth street; first avenue east one hundred and fifth street; east hundred and fifth street at first avenue; first avenue and east one hundred and fifth street; first avenue on east one hundred and fifth street; first avenue at east hundred and fifth street; east one hundred and fifth street on first avenue; east one hundred and fifth street first avenue; east one hundred and fifth street and first avenue; first avenue east hundred and fifth street; east hundred and fifth street first avenue
1 Av/E 108 St	first avenue east one hundred and eighth street; first avenue east hundred and eighth street; east one hundred and eighth street at first avenue; east hundred and eighth street and first avenue; east hundred and eighth street on first avenue; east one hundred and eighth street first avenue; east one hundred and eighth street and first avenue; first avenue at east hundred and eighth street; first avenue and east one hundred and eighth street; east hundred and eighth street first avenue; east hundred and eighth street at first avenue; first avenue at east one hundred and eighth street; first avenue and east hundred and eighth street; first avenue on east hundred and eighth street; east one hundred and eighth street on first avenue; first avenue on east one hundred and eighth street
1 Av/E 11 St	first avenue east eleventh street; first avenue at east eleventh street; east eleventh street and first avenue; east eleventh street at first avenue; first avenue on east eleventh street; first avenue and east eleventh street; east eleventh street first avenue; east eleventh street on first avenue
