(Glen Pointe) Frank W Burr Blvd	New Jersey	-74.0043455|40.8722085
1 Av	New York	-73.981628|40.730953
1 Av / 23 St	New York	-73.978264|40.737099
1 Av / 4 St	New York	-73.986725|40.725437
1 Av / 56 St	New York	-74.022682|40.647049
1 Av /E  82 St	New York	-73.950912|40.774559
1 Av/ E 27 St	New York	-73.976425|40.739597
1 Av/ E 97 St	New York	-73.944061|40.784023
1 Av/125 St	New York	-73.9312515|40.8021205
1 Av/E 1 St	New York	-73.987801|40.72401
1 Av/E 102 St	New York	-73.941597|40.787323
1 Av/E 105 St	New York	-73.939621|40.789761
1 Av/E 108 St	New York	-73.938324|40.791618
1 Av/E 11 St	New York	-73.983681|40.729618
